pelvis,shoulder,elbow,wrist,x,y,z
-1.57,-1.32,-1.07,0.5,-0.0610117899656453,-0.479438451194686,0.02470076975681887
-1.57,-1.32,-1.07,0.75,-0.06097562664358702,-0.43402579567954,-0.013387043355974487
-1.57,-1.32,-1.07,1.0,-0.060933083704706736,-0.38060183687235405,-0.03905552425969666
-1.57,-1.32,-1.07,1.25,-0.060886806262890635,-0.3224882177770206,-0.05070873113502142
-1.57,-1.32,-1.07,1.5,-0.06083967162532971,-0.2632981617601467,-0.047622124019830986
-1.57,-1.32,-1.07,1.57,-0.0608267210826374,-0.24703531585587468,-0.04412009750994031
-1.57,-1.32,-0.8200000000000001,0.0,-0.061028052307606516,-0.4998601406667992,0.03687645453545421
-1.57,-1.32,-0.8200000000000001,0.25,-0.061000517062581625,-0.4652823274110016,-0.01126257504238154
-1.57,-1.32,-0.8200000000000001,0.5,-0.06096435374052335,-0.41986967189585533,-0.04935038815517484
-1.57,-1.32,-0.8200000000000001,0.75,-0.060921810801643064,-0.36644571308866986,-0.07501886905889718
-1.57,-1.32,-0.8200000000000001,1.0,-0.06087553335982696,-0.3083320939933359,-0.08667207593422169
-1.57,-1.32,-0.8200000000000001,1.25,-0.06082839872226604,-0.24914203797646206,-0.08358546881903148
-1.57,-1.32,-0.8200000000000001,1.5,-0.06078333749243091,-0.19255569603879985,-0.06595095799400993
-1.57,-1.32,-0.8200000000000001,1.57,-0.060771479500333854,-0.17766483757903323,-0.05853430726623207
-1.57,-1.32,-0.5700000000000001,0.0,-0.060982509310656755,-0.442668812163464,-0.0426056243623468
-1.57,-1.32,-0.5700000000000001,0.25,-0.06094634598859847,-0.39725615664831787,-0.0806934374751401
-1.57,-1.32,-0.5700000000000001,0.5,-0.06090380304971819,-0.34383219784113217,-0.10636191837886241
-1.57,-1.32,-0.5700000000000001,0.75,-0.06085752560790209,-0.28571857874579853,-0.1180151252541872
-1.57,-1.32,-0.5700000000000001,1.0,-0.06081039097034116,-0.22652852272892454,-0.11492851813899671
-1.57,-1.32,-0.5700000000000001,1.25,-0.06076532974050604,-0.16994218079126228,-0.09729400731397539
-1.57,-1.32,-0.5700000000000001,1.5,-0.060725143607417334,-0.11947781760300229,-0.06620802125085742
-1.57,-1.32,-0.5700000000000001,1.57,-0.06071511543843089,-0.10688478804406835,-0.055337877725481405
-1.57,-1.32,-0.32000000000000006,0.0,-0.06092272302260796,-0.3675912487882382,-0.1054674323167473
-1.57,-1.32,-0.32000000000000006,0.25,-0.06088018008372768,-0.31416728998105253,-0.1311359132204696
-1.57,-1.32,-0.32000000000000006,0.5,-0.06083390264191158,-0.25605367088571884,-0.14278912009579423
-1.57,-1.32,-0.32000000000000006,0.75,-0.06078676800435065,-0.1968636148688449,-0.13970251298060407
-1.57,-1.32,-0.32000000000000006,1.0,-0.06074170677451552,-0.14027727293118264,-0.12206800215558242
-1.57,-1.32,-0.32000000000000006,1.25,-0.06070152064142682,-0.08981290974292254,-0.09098201609246467
-1.57,-1.32,-0.32000000000000006,1.5,-0.060668708184201635,-0.048608154986939725,-0.04837733084212828
